晓寿司（望京soho店）,望京,98.0,63,4.8
芦月轩羊蝎子（杨闸店）,管庄,89.9,58,4.8
屯老二农家铁锅炖（松园店）,昌平镇,88.0,85,4.4
华莱士炸鸡汉堡（石油大学店）,昌平镇,10.9,25,4.5
便宜坊烤鸭店（富丰路店）,看丹桥/新华街,92.0,99,3.9
味多美（紫金数码店）,双榆树,1.25,32,4.6
分米鸡（喜隆多店）,苹果园,88.0,99,4.5
铁木真自助城（西三旗店）,西三旗,82.9,81,3.9
木北造型（亦庄上海沙龙店）,亦庄,58.0,328,5.0
宽板凳老灶火锅（古城店）,古城/八角,39.9,88,4.5
老诚一锅（东大桥店）,朝外大街/世贸天阶,90.0,69,4.2
巴蜀王婆大虾（莲花桥店）,北京西站/六里桥,1.98,71,4.9
火炉火烤肉·芝士排骨（西红门荟聚购物中心店）,西红门,218.0,83,4.2
蟹老宋香锅（方庄店）,方庄/蒲黄榆,95.0,96,4.4
九门轩烤鸭店（前门店）,前门/大栅栏,5.8,50,4.7
